label,exact_pf,ranker_audit_pf,pf_delta,coverage,exact_coverage,ranker_audit_coverage,exact_uncovered,ranker_audit_uncovered,exact_validations,ranker_audit_validations,exact_uncached_boxes,ranker_audit_uncached_boxes,exact_subprocess_seconds,ranker_audit_subprocess_seconds,exact_elapsed_seconds,ranker_audit_elapsed_seconds,validation_reduction_pct,uncached_box_reduction_pct,subprocess_reduction_pct,elapsed_reduction_pct,ranker_pf,ranker_elapsed_seconds,ranker_stop_reason,exact_summary_path,frontier_summary_path,exact_run_dir,ranker_audit_run_dir
"seed1:test[0,100)",1.8908695471220114,1.8908695471220114,0.0,1.0,1.0,1.0,0,0,10620,8620,976,932,511.3662560028024,492.2233855011873,696.5627001998946,646.838269200176,18.832391713747647,4.508196721311475,3.7434754986082224,7.138543448486266,1.9860883908825475,181.30057979980484,time_limit,BoxDesignSurrogateRL\results\ranker_window_protocol_seed1_offset0_20260705\protocol_20260705_013941\seed1_test0_100\exact\staged_greedy\run_20260705_013943_252662\summary.json,BoxDesignSurrogateRL\results\aa_s1r\manifest_frontier_20260705_103217\00_s1_o0\ranker\frontier_20260705_103217\frontier_summary.json,BoxDesignSurrogateRL\results\ranker_window_protocol_seed1_offset0_20260705\protocol_20260705_013941\seed1_test0_100\exact\staged_greedy\run_20260705_013943_252662,BoxDesignSurrogateRL\results\aa_s1r\manifest_frontier_20260705_103217\00_s1_o0\ranker\staged_greedy\run_20260705_103522_169770
"seed1:test[100,200)",2.2084188336212223,2.2084188336212223,0.0,1.0,1.0,1.0,0,0,26280,25120,2421,2338,1307.7590284030885,1269.977792573627,1814.9035522001795,1742.7348157004453,4.41400304414003,3.4283353985956215,2.889005926083817,3.9764502313219445,2.7244467591323454,180.754416000098,time_limit,BoxDesignSurrogateRL\results\ranker_window_protocol_seed1_offset100_20260705\protocol_20260705_020930\s1_o100\e\staged_greedy\run_20260705_020932_158758\summary.json,BoxDesignSurrogateRL\results\aa_s1r\manifest_frontier_20260705_103217\01_s1_o100\ranker\frontier_20260705_104308\frontier_summary.json,BoxDesignSurrogateRL\results\ranker_window_protocol_seed1_offset100_20260705\protocol_20260705_020930\s1_o100\e\staged_greedy\run_20260705_020932_158758,BoxDesignSurrogateRL\results\aa_s1r\manifest_frontier_20260705_103217\01_s1_o100\ranker\staged_greedy\run_20260705_104612_280001
"seed1:test[200,300)",2.031520138060319,2.031520138060319,0.0,1.0,1.0,1.0,0,0,9420,8220,951,931,524.6429944089614,515.5744674005546,692.044012799859,671.0917504001409,12.738853503184714,2.1030494216614093,1.7285138856419882,3.0275910219857094,2.161022314649989,181.0808073002845,time_limit,BoxDesignSurrogateRL\results\ranker_window_protocol_seed1_offset200_20260705\protocol_20260705_031522\s1_o200\e\staged_greedy\run_20260705_031524_540993\summary.json,BoxDesignSurrogateRL\results\aa_s1r\manifest_frontier_20260705_103217\02_s1_o200\ranker\frontier_20260705_111214\frontier_summary.json,BoxDesignSurrogateRL\results\ranker_window_protocol_seed1_offset200_20260705\protocol_20260705_031522\s1_o200\e\staged_greedy\run_20260705_031524_540993,BoxDesignSurrogateRL\results\aa_s1r\manifest_frontier_20260705_103217\02_s1_o200\ranker\staged_greedy\run_20260705_111519_408121
"seed1:test[300,400)",1.8968685619683556,1.8968685619683556,0.0,1.0,1.0,1.0,0,0,15540,13620,1411,1323,864.6081348038279,799.2194985090755,1144.233303599991,1038.2689159000292,12.355212355212355,6.236711552090716,7.562806046185129,9.260732699055003,2.1800241200528716,182.04707620013505,time_limit,BoxDesignSurrogateRL\results\ranker_window_protocol_seed1_offset300_20260705\protocol_20260705_034349\s1_o300\e\staged_greedy\run_20260705_034351_204536\summary.json,BoxDesignSurrogateRL\results\aa_s1r\manifest_frontier_20260705_103217\03_s1_o300\ranker\frontier_20260705_112330\frontier_summary.json,BoxDesignSurrogateRL\results\ranker_window_protocol_seed1_offset300_20260705\protocol_20260705_034349\s1_o300\e\staged_greedy\run_20260705_034351_204536,BoxDesignSurrogateRL\results\aa_s1r\manifest_frontier_20260705_103217\03_s1_o300\ranker\staged_greedy\run_20260705_112635_336997
"seed1:test[400,500)",1.9910783173128839,1.9910783173128839,0.0,1.0,1.0,1.0,0,0,7920,4280,716,480,397.6499493117444,265.5042429016903,528.620918800123,349.44644720014185,45.95959595959596,32.960893854748605,33.23166685643313,33.89469943918903,2.0168002640791296,181.17537340009585,time_limit,BoxDesignSurrogateRL\results\ranker_window_protocol_seed1_offset400_20260705\protocol_20260705_042122\s1_o400\e\staged_greedy\run_20260705_042124_108806\summary.json,BoxDesignSurrogateRL\results\aa_s1r\manifest_frontier_20260705_103217\04_s1_o400\ranker\frontier_20260705_114052\frontier_summary.json,BoxDesignSurrogateRL\results\ranker_window_protocol_seed1_offset400_20260705\protocol_20260705_042122\s1_o400\e\staged_greedy\run_20260705_042124_108806,BoxDesignSurrogateRL\results\aa_s1r\manifest_frontier_20260705_103217\04_s1_o400\ranker\staged_greedy\run_20260705_114356_550165
"seed2:test[0,100)",1.938000967392958,1.938000967392958,0.0,1.0,1.0,1.0,0,0,9840,7800,906,853,471.61411920236424,442.3404661989771,641.3275569002144,585.9211275000125,20.73170731707317,5.849889624724062,6.207119721711759,8.639333957206317,2.0339151518733316,181.18010230036452,time_limit,BoxDesignSurrogateRL\results\ranker_window_protocol_seed2_offsets0_400_20260705\protocol_20260705_044331\s2_o0\e\staged_greedy\run_20260705_044332_997247\summary.json,BoxDesignSurrogateRL\results\ranker_assignment_aware_seed2_manifest_20260705\manifest_frontier_20260705_091502\00_s2_o0\ranker\frontier_20260705_091502\frontier_summary.json,BoxDesignSurrogateRL\results\ranker_window_protocol_seed2_offsets0_400_20260705\protocol_20260705_044331\s2_o0\e\staged_greedy\run_20260705_044332_997247,BoxDesignSurrogateRL\results\ranker_assignment_aware_seed2_manifest_20260705\manifest_frontier_20260705_091502\00_s2_o0\ranker\staged_greedy\run_20260705_091807_434352
"seed2:test[100,200)",2.2095968714191967,2.2095968714191967,0.0,1.0,1.0,1.0,0,0,16200,15120,1579,1523,853.3800219018012,824.3479977068491,1155.2792613999918,1088.9027399001643,6.666666666666667,3.546548448385054,3.402004200924782,5.745495805004847,2.505903982827757,180.61725760018453,time_limit,BoxDesignSurrogateRL\results\ranker_window_protocol_seed2_offsets0_400_20260705\protocol_20260705_044331\s2_o100\e\staged_greedy\run_20260705_050315_090641\summary.json,BoxDesignSurrogateRL\results\aa_s2r\manifest_frontier_20260705_092835\01_s2_o100\ranker\frontier_20260705_092835\frontier_summary.json,BoxDesignSurrogateRL\results\ranker_window_protocol_seed2_offsets0_400_20260705\protocol_20260705_044331\s2_o100\e\staged_greedy\run_20260705_050315_090641,BoxDesignSurrogateRL\results\aa_s2r\manifest_frontier_20260705_092835\01_s2_o100\ranker\staged_greedy\run_20260705_093139_388886
"seed2:test[200,300)",1.9186301367838017,1.9186301367838017,0.0,1.0,1.0,1.0,0,0,9480,8280,964,928,553.5629822034389,529.5180313880555,728.1239224001765,694.4606051002629,12.658227848101266,3.7344398340248963,4.343670293789015,4.623295055180494,2.037579436171307,180.04677350027487,time_limit,BoxDesignSurrogateRL\results\ranker_window_protocol_seed2_offsets0_400_20260705\protocol_20260705_044331\s2_o200\e\staged_greedy\run_20260705_054048_841547\summary.json,BoxDesignSurrogateRL\results\aa_s2r\manifest_frontier_20260705_092835\02_s2_o200\ranker\frontier_20260705_094648\frontier_summary.json,BoxDesignSurrogateRL\results\ranker_window_protocol_seed2_offsets0_400_20260705\protocol_20260705_044331\s2_o200\e\staged_greedy\run_20260705_054048_841547,BoxDesignSurrogateRL\results\aa_s2r\manifest_frontier_20260705_092835\02_s2_o200\ranker\staged_greedy\run_20260705_094951_640618
"seed2:test[300,400)",1.9960143396640246,1.9960143396640246,0.0,1.0,1.0,1.0,0,0,7860,5820,793,672,475.6722227069549,407.02116039255634,620.7365317000076,530.221246200148,25.954198473282442,15.258511979823455,14.43243036638112,14.581916945014642,2.1118666146340135,181.99466770002618,time_limit,BoxDesignSurrogateRL\results\ranker_window_protocol_seed2_offsets0_400_20260705\protocol_20260705_044331\s2_o300\e\staged_greedy\run_20260705_060348_025500\summary.json,BoxDesignSurrogateRL\results\aa_s2r\manifest_frontier_20260705_092835\03_s2_o300\ranker\frontier_20260705_095826\frontier_summary.json,BoxDesignSurrogateRL\results\ranker_window_protocol_seed2_offsets0_400_20260705\protocol_20260705_044331\s2_o300\e\staged_greedy\run_20260705_060348_025500,BoxDesignSurrogateRL\results\aa_s2r\manifest_frontier_20260705_092835\03_s2_o300\ranker\staged_greedy\run_20260705_100132_064571
"seed2:test[400,500)",1.992955575039261,1.992955575039261,0.0,1.0,1.0,1.0,0,0,23160,21040,2063,1943,1043.8999098031782,977.5555043001659,1425.8324214001186,1367.2485507000238,9.153713298791018,5.816771691711101,6.355437420769691,4.1087486734638485,2.1429548463016515,180.73427989985794,time_limit,BoxDesignSurrogateRL\results\ranker_window_protocol_seed2_offsets0_400_20260705\protocol_20260705_044331\s2_o400\e\staged_greedy\run_20260705_062428_460628\summary.json,BoxDesignSurrogateRL\results\aa_s2r\manifest_frontier_20260705_092835\04_s2_o400\ranker\frontier_20260705_100720\frontier_summary.json,BoxDesignSurrogateRL\results\ranker_window_protocol_seed2_offsets0_400_20260705\protocol_20260705_044331\s2_o400\e\staged_greedy\run_20260705_062428_460628,BoxDesignSurrogateRL\results\aa_s2r\manifest_frontier_20260705_092835\04_s2_o400\ranker\staged_greedy\run_20260705_101024_941121
"seed3:test[0,100)",1.9780321463981043,1.9780321463981043,0.0,1.0,1.0,1.0,0,0,8580,6660,804,768,440.97611209610477,408.57367068948224,609.4285654998384,536.959892699495,22.377622377622377,4.477611940298507,7.347890399913738,11.891249754744667,2.0701893257234345,182.0142660997808,time_limit,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o0\e\staged_greedy\run_20260706_160143_152586\summary.json,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o0\r\frontier_20260706_161153\frontier_summary.json,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o0\e\staged_greedy\run_20260706_160143_152586,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o0\r\staged_greedy\run_20260706_161459_067091
"seed3:test[100,200)",2.1883726049921033,2.1883726049921033,0.0,1.0,1.0,1.0,0,0,19980,18860,1894,1826,1003.6449983920902,958.416634392459,1362.2076257001609,1331.548404999543,5.605605605605605,3.5902851108764517,4.506410540787856,2.2507010034435355,2.511566984811631,183.4387859995477,time_limit,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o100\e\staged_greedy\run_20260706_162056_182653\summary.json,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o100\r\frontier_20260706_164338\frontier_summary.json,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o100\e\staged_greedy\run_20260706_162056_182653,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o100\r\staged_greedy\run_20260706_164645_776155
"seed3:test[200,300)",1.932456910103549,1.932456910103549,0.0,1.0,1.0,1.0,0,0,13800,12480,1316,1276,747.0547376992181,717.5202208929695,996.3884844998829,947.964837399777,9.565217391304348,3.0395136778115504,3.953460879882656,4.859916373322114,2.1591848941361182,182.1280919997953,time_limit,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o200\e\staged_greedy\run_20260706_170556_182363\summary.json,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o200\r\frontier_20260706_172233\frontier_summary.json,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o200\e\staged_greedy\run_20260706_170556_182363,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o200\r\staged_greedy\run_20260706_172538_569960
"seed3:test[300,400)",2.0360690768531238,2.0360690768531238,0.0,1.0,1.0,1.0,0,0,11040,10000,1129,1075,670.8954349984415,634.1707033962011,898.5335403000936,853.4124373001978,9.420289855072465,4.782993799822853,5.473987403465589,5.021638144395388,2.2600395750829114,181.92388710007071,time_limit,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o300\e\staged_greedy\run_20260706_173826_569812\summary.json,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o300\r\frontier_20260706_175325\frontier_summary.json,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o300\e\staged_greedy\run_20260706_173826_569812,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o300\r\staged_greedy\run_20260706_175631_056495
"seed3:test[400,500)",1.8313420040452688,1.8251207019371196,-0.006221302108149196,1.0,1.0,1.0,0,0,20760,20920,1919,1960,1044.7522531100549,1038.241433698684,1416.1871628998779,1458.5628492999822,-0.7707129094412332,-2.136529442417926,0.6231926652456857,-2.9922377147758543,2.0438901394292737,180.80909690028057,time_limit,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o400\e\staged_greedy\run_20260706_180744_800816\summary.json,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o400\r\frontier_20260706_183121\frontier_summary.json,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o400\e\staged_greedy\run_20260706_180744_800816,BoxDesignSurrogateRL\results\aa_seed3_ranker180_testsplit_cap_unified_20260706\protocol_20260706_160128\s3_o400\r\staged_greedy\run_20260706_183425_766424
"seed4:test[0,100)",1.8035468200399105,1.8035468200399105,0.0,1.0,1.0,1.0,0,0,7800,5450,744,632,407.99257409293205,338.14235069882125,564.9202099000104,457.84660840034485,30.128205128205128,15.053763440860216,17.12046439801142,18.95375658778738,1.8616882228592533,181.93164229998365,time_limit,BoxDesignSurrogateRL\results\aa_seed4_ranker180_extension_20260706_run\protocol_20260706_015055\s4_o0\e\staged_greedy\run_20260706_015057_265081\summary.json,BoxDesignSurrogateRL\results\aa_seed4_ranker180_extension_20260706_run\protocol_20260706_015055\s4_o0\r\frontier_20260706_020022\frontier_summary.json,BoxDesignSurrogateRL\results\aa_seed4_ranker180_extension_20260706_run\protocol_20260706_015055\s4_o0\e\staged_greedy\run_20260706_015057_265081,BoxDesignSurrogateRL\results\aa_seed4_ranker180_extension_20260706_run\protocol_20260706_015055\s4_o0\r\staged_greedy\run_20260706_020328_156629
"seed4:test[100,200)",2.2115194220669134,2.2115194220669134,0.0,1.0,1.0,1.0,0,0,16200,15520,1572,1572,854.2010335936211,858.0490927896462,1164.2882193000987,1160.4540092004463,4.197530864197531,0.0,-0.45048636617031007,0.3293179503231004,2.500952058277637,183.52468640031293,time_limit,BoxDesignSurrogateRL\results\aa_seed4_ranker180_extension_20260706_run\protocol_20260706_015055\s4_o100\e\staged_greedy\run_20260706_020806_287462\summary.json,BoxDesignSurrogateRL\results\aa_seed4_ranker180_extension_20260706_run\protocol_20260706_015055\s4_o100\r\frontier_20260706_022731\frontier_summary.json,BoxDesignSurrogateRL\results\aa_seed4_ranker180_extension_20260706_run\protocol_20260706_015055\s4_o100\e\staged_greedy\run_20260706_020806_287462,BoxDesignSurrogateRL\results\aa_seed4_ranker180_extension_20260706_run\protocol_20260706_015055\s4_o100\r\staged_greedy\run_20260706_023037_965655
